page,path,clicks_7d,impressions_7d,ctr_7d,position_7d,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_previous_28d,impressions_previous_28d,ctr_previous_28d,position_previous_28d,click_change_28d,impression_change_28d,clicks_3mo,impressions_3mo,ctr_3mo,position_3mo
https://www.radianceclinics.com/hair-transplant-in-jajpur/,/hair-transplant-in-jajpur,,,,,1,60,1.67,15.33,1,102,0.98,6.80,0,-42,3,297,1.01,8.34
https://www.radianceclinics.com/treatment/acne-treatment/carbon-laser-peel/,/treatment/acne-treatment/carbon-laser-peel,,,,,0,60,0.00,13.83,0,91,0.00,11.48,0,-31,0,308,0.00,14.19
https://www.radianceclinics.com/treatment/anti-ageing-therapies/prp-facelift/,/treatment/anti-ageing-therapies/prp-facelift,,,,,0,58,0.00,71.98,0,77,0.00,66.06,0,-19,1,222,0.45,62.92
https://www.radianceclinics.com/post/how-to-care-for-your-scalp-after-a-hair-transplant/,/post/how-to-care-for-your-scalp-after-a-hair-transplant,,,,,0,57,0.00,75.37,0,81,0.00,73.12,0,-24,0,208,0.00,76.37
https://www.radianceclinics.com/conditions/pcod/,/conditions/pcod,0,7,0.00,3.00,1,55,1.82,6.42,0,45,0.00,5.09,1,10,1,138,0.72,5.63
https://www.radianceclinics.com/conditions,/conditions,0,40,0.00,74.03,0,54,0.00,71.89,0,0,0.00,0.00,0,54,0,54,0.00,71.89
https://www.radianceclinics.com/treatment/anti-ageing-therapies/filler/,/treatment/anti-ageing-therapies/filler,0,11,0.00,54.45,0,54,0.00,83.87,0,56,0.00,80.71,0,-2,0,183,0.00,83.63
https://www.radianceclinics.com/bio-hair-transplant/,/bio-hair-transplant,,,,,0,54,0.00,73.33,0,66,0.00,55.14,0,-12,0,206,0.00,62.02
https://www.radianceclinics.com/female-hair-transplant/,/female-hair-transplant,,,,,0,54,0.00,76.15,0,133,0.00,82.89,0,-79,0,395,0.00,83.72
https://www.radianceclinics.com/conditions/fungal-infection/,/conditions/fungal-infection,0,4,0.00,2.00,0,53,0.00,10.68,0,13,0.00,4.54,0,40,0,79,0.00,10.20
https://www.radianceclinics.com/hair-transplant-in-raipur/,/hair-transplant-in-raipur,,,,,0,52,0.00,45.02,1,85,1.18,30.61,-1,-33,1,245,0.41,34.07
https://www.radianceclinics.com/locations/,/locations,,,,,2,51,3.92,26.71,0,90,0.00,35.19,2,-39,2,262,0.76,34.49
https://www.radianceclinics.com/post/four-misconceptions-people-have-about-laser-tattoo-removal-in-bhubaneswar/,/post/four-misconceptions-people-have-about-laser-tattoo-removal-in-bhubaneswar,,,,,0,51,0.00,14.04,0,64,0.00,18.86,0,-13,1,192,0.52,16.22
